City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Number of Recommendation,Recommend Reason,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Address,Category ID,Category Name,Category ICON,Likes
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,4aabd3e6f964a5204a5a20e3,Zero Otto Nove,40.85471353015844,-73.88838751470229,2357 Arthur Ave (at E 186th St),4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png,217
New York,Throgs Neck,40.81510925804005,-73.81635002158441,0,This spot is popular,4b4b9f1df964a5201fa226e3,Tosca Café,40.819204436132736,-73.81746681637895,4034 E Tremont Ave (at Miles Ave),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,167
New York,Edgewater Park,40.821986118163494,-73.81388514428619,0,This spot is popular,4b4b9f1df964a5201fa226e3,Tosca Café,40.819204436132736,-73.81746681637895,4034 E Tremont Ave (at Miles Ave),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,167
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,4acf80aef964a52025d420e3,Tino's Delicatessen,40.85588217093613,-73.88716612015719,2410 Arthur Ave (E. 187 St.),4bf58dd8d48988d110941735,Italian Restaurant,https://ss3.4sqi.net/img/categories_v2/food/italian_.png,137
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,50e600a4526287052c53bb99,The Bronx Beer Hall,40.854197571164775,-73.88823312783984,2344 Arthur Ave (btwn E186th St & E 184th St),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,129
New York,Parkchester,40.837937822267286,-73.85600310535783,0,This spot is popular,4b4929d2f964a520656826e3,Taqueria Tlaxcali,40.83609833012624,-73.85494781241097,2103 Starling Ave (Olmstead St & Odell St),4bf58dd8d48988d1c1941735,Mexican Restaurant,https://ss3.4sqi.net/img/categories_v2/food/mexican_.png,122
New York,Bay Ridge,40.625801065010656,-74.03062069353813,0,This spot is popular,4a9880f5f964a520692c20e3,The Kettle Black,40.62283909856897,-74.03141082168587,8622 3rd Ave (at 87th St.),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,115
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,4aee1220f964a520ced121e3,Full Moon Pizzeria,40.855505712207126,-73.88755698445503,600 E 187th St (at Arthur Ave.),4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png,113
New York,Westchester Square,40.8406194964327,-73.84219407604444,0,This spot is popular,4c423ed0520fa5938ef4caac,Westchester Square,40.84068773802338,-73.84268455731083,Westchester Square (Tremont Av),4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png,102
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,4af0fa29f964a52060e021e3,Antonio's Trattoria,40.854082862115455,-73.88661644989108,2370 Belmont Ave,4bf58dd8d48988d110941735,Italian Restaurant,https://ss3.4sqi.net/img/categories_v2/food/italian_.png,100
New York,Belmont,40.85727710073895,-73.88845196134804,0,This spot is popular,4aa425bef964a5208e4520e3,Dominick's Restaurant,40.85421506482662,-73.88876521498301,2335 Arthur Ave,4bf58dd8d48988d110941735,Italian Restaurant,https://ss3.4sqi.net/img/categories_v2/food/italian_.png,96
New York,Morris Park,40.847549063536334,-73.85040178030421,0,This spot is popular,4b10591af964a5205f6e23e3,Patricia's,40.84931298339339,-73.85353576737785,1082 Morris Park Ave,4bf58dd8d48988d110941735,Italian Restaurant,https://ss3.4sqi.net/img/categories_v2/food/italian_.png,78
New York,Baychester,40.866858107252696,-73.83579759808117,0,This spot is popular,4f5ce789e4b0a4baa3d5dbb6,Planet Fitness,40.86329786974066,-73.83556764832478,1780 E Gun Hill Rd,4bf58dd8d48988d175941735,Gym / Fitness Center,https://ss3.4sqi.net/img/categories_v2/building/gym_.png,76
