Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Number of Recommendation,Recommend Reason,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Address,Category ID,Category Name,Category ICON,City
Victoria Village,43.72588229999999,-79.31557159999998,0,This spot is popular,4c633acb86b6be9a61268e34,Victoria Village Arena,43.72348055545508,-79.31563520925143,['Canada'],4bf58dd8d48988d185941735,Hockey Arena,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_.png,Toronto
Victoria Village,43.72588229999999,-79.31557159999998,0,This spot is popular,4f3ecce6e4b0587016b6f30d,Portugril,43.72581876267242,-79.31278541470671,"['1733 Eglinton Avenue East (Bermondsey)', 'Toronto ON', 'Canada']",4def73e84765ae376e57713a,Portuguese Restaurant,https://ss3.4sqi.net/img/categories_v2/food/portuguese_.png,Toronto
Victoria Village,43.72588229999999,-79.31557159999998,0,This spot is popular,4bbe904a85fbb713420d7167,Tim Hortons,43.725516631714754,-79.31310251366091,"['1733 Eglinton Ave East (at Bermondsey Rd)', 'Toronto ON M4A 1J8', 'Canada']",4bf58dd8d48988d1e0931735,Coffee Shop,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_.png,Toronto
Victoria Village,43.72588229999999,-79.31557159999998,0,This spot is popular,51e594d5498e07837484f577,Eglinton Ave E & Sloane Ave/Bermondsey Rd,43.726086,-79.31362,"['Eglinton Avenue East (at Sloan Avenue / Bermondsey Road)', 'Toronto ON M4A', 'Canada']",52f2ab2ebcbc57f1066b8b4c,Intersection,https://ss3.4sqi.net/img/categories_v2/travel/default_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,54ea41ad498e9a11e9e13308,Roselle Desserts,43.653446723052674,-79.3620167174383,"['362 King St E (Trinity St)', 'Toronto ON M5A 1K9', 'Canada']",4bf58dd8d48988d16a941735,Bakery,https://ss3.4sqi.net/img/categories_v2/food/bakery_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,53b8466a498e83df908c3f21,Tandem Coffee,43.65355870959944,-79.36180945913513,"['368 King St E (at Trinity St)', 'Toronto ON', 'Canada']",4bf58dd8d48988d1e0931735,Coffee Shop,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,50760559e4b0e8c7babe2497,Body Blitz Spa East,43.65473505045365,-79.35987433132891,"['497 King Street East (btwn Sackville St and Sumach St)', 'Toronto ON M5A 1L9', 'Canada']",4bf58dd8d48988d1ed941735,Spa,https://ss3.4sqi.net/img/categories_v2/shops/spa_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,574c229e498ebb5c6b257902,Cooper Koo YMCA,43.65319052672638,-79.35794700053884,"['461 Cherry Street (Front Street)', 'Toronto ON M5A 0H7', 'Canada']",4bf58dd8d48988d175941735,Gym / Fitness Center,https://ss3.4sqi.net/img/categories_v2/building/gym_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,4ae5b91ff964a520a6a121e3,Morning Glory Cafe,43.653946942635294,-79.36114884214422,"['457 King St. E (Gilead Place)', 'Toronto ON M5A 1L6', 'Canada']",4bf58dd8d48988d143941735,Breakfast Spot,https://ss3.4sqi.net/img/categories_v2/food/breakfast_.png,Toronto
Regent Park / Harbourfront,43.6542599,-79.36063589999998,0,This spot is popular,5612b1cc498e3dd742af0dc8,Impact Kitchen,43.65636850543279,-79.35697968750694,"['573 King St E (at St Lawrence St)', 'Toronto ON M5A 4L3', 'Canada']",4bf58dd8d48988d1c4941735,Restaurant,https://ss3.4sqi.net/img/categories_v2/food/default_.png,Toronto
